writer_id,genuine_count,forged_count,total
1353,12,16,28
1354,12,16,28
1355,12,16,28
1356,12,16,28
1357,12,16,28
1358,12,16,28
1359,12,16,28
1360,12,16,28
1361,12,16,28
1362,12,16,28
1363,12,16,28
1364,12,16,28
1365,12,16,28
1366,12,16,28
1367,12,16,28
1368,12,16,28
1369,12,16,28
1370,12,16,28
1371,12,16,28
1372,12,16,28
1373,12,16,28
1374,12,16,28
1375,12,16,28
1376,12,16,28
1377,12,16,28
1378,12,16,28
1379,12,16,28
1380,12,16,28
1381,12,16,28
1382,12,16,28
1383,12,16,28
1384,12,16,28
1385,12,16,28
1386,12,16,28
1387,12,16,28
1388,12,16,28
1389,12,16,28
1390,12,16,28
1391,12,16,28
1392,12,16,28
1393,12,16,28
1394,12,16,28
1395,12,16,28
1396,12,16,28
1397,12,16,28
1398,12,16,28
1399,12,16,28
1400,12,16,28
1401,12,16,28
1402,12,16,28
1403,12,16,28
1404,12,16,28
1405,12,16,28
1406,12,16,28
1407,12,16,28
1408,12,16,28
1409,12,16,28
1410,12,16,28
1411,12,16,28
1412,12,16,28
1413,12,16,28
1414,12,16,28
1415,12,16,28
1416,12,16,28
1417,12,16,28
1418,12,16,28
1419,12,16,28
1420,12,16,28
1421,12,16,28
1422,12,16,28
1423,12,16,28
1424,12,16,28
1425,12,16,28
1426,12,16,28
1427,12,16,28
1428,12,16,28
1429,12,16,28
1430,12,16,28
1431,12,16,28
1432,12,16,28
1433,12,16,28
1434,12,16,28
1435,12,16,28
1436,12,16,28
1437,12,16,28
1438,12,16,28
1439,12,16,28
1440,12,16,28
1441,12,16,28
1442,12,16,28
1443,12,16,28
1444,12,16,28
1445,12,16,28
1446,12,16,28
1447,12,16,28
1448,12,16,28
1449,12,16,28
1450,12,16,28
1451,12,16,28
1452,12,16,28
1453,12,16,28
1454,12,16,28
1455,12,16,28
1456,12,16,28
1457,12,16,28
1458,12,16,28
1459,12,16,28
1460,12,16,28
1461,12,16,28
1462,12,16,28
1463,12,16,28
1464,12,16,28
1465,12,16,28
1466,12,16,28
1467,12,16,28
1468,12,16,28
1469,12,16,28
1470,12,16,28
1471,12,16,28
1472,12,16,28
1473,12,16,28
1474,12,16,28
1475,12,16,28
1476,12,16,28
1477,12,16,28
1478,12,16,28
1479,12,16,28
1480,12,16,28
1481,12,16,28
1482,12,16,28
1483,12,16,28
1484,12,16,28
1485,12,16,28
1486,12,16,28
1487,12,16,28
1488,12,16,28
1489,12,16,28
1490,12,16,28
1491,12,16,28
1492,12,16,28
1493,12,16,28
1494,12,16,28
1495,12,16,28
1496,12,16,28
1497,12,16,28
1498,12,16,28
1499,12,16,28
1500,12,16,28
1501,12,16,28
